0,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
11,72045976,UAG,89900,,7/30/2016,,,407,393,397 Main Street,Oxford,MA,1540,,2,1,927,88,3049,Lydia Rajunas,RE/MAX Executive Realty,(508) 435-6700,"Lock Box, Appointment Required, Schedule with ShowingTime or call 888-627-2775","Sweet, small & NOT a short sale & NOT bank owned!  DEP APPROVED SEPTIC PLANS IN HAND & READY TO INSTALL!  203K lender ready to assist! Perfect for 1 floor living! This solid, charming 2 bedroom home needs a small bit of TLC to make it sparkle. The windows have been replaced & hot water tank is leased.  The living room leads to the kitchen & 1 of the 2 bedrooms.  Stairs lead to the walk up attic for lots of storage space.  The eat in kitchen has a range, dishwasher & refrigerator.  The bathroom is just off the kitchen & has lots of storage & the washing machine.  1 bedroom has carpet, the other has hardwoods - both offer nice closet space!  The enclosed porch is a nice place to sit or maybe an office?  There is access to the deck from there for grilling out or enjoying the fresh air.  The basement also has great storage & the dryer is here.  The shed off of the basement has direct outdoor access perfect for the lawn & garden tools.  Super location just minutes to all major routes.",Colonial,1,0,"Forced Air, Oil",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl, Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer, Vent Hood;Foundation:Concrete Block;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck, Gutters, Screens;Insulation:Unknown;Electric:Circuit Breakers, 100 Amps;Interior Features:--;Hot Water:Electric, Leased Heater;",SF,Main Street,397,397,http://media.mlspin.com/photo.aspx?mls=72045976
12,72053436,CTG,1375000,,8/15/2016,,,553,549,24 Thornberry Lane,Sudbury,MA,1776,,5,4,4985,18,174165,Fern Firth,Coldwell Banker Residential Brokerage - Wayland,(508) 358-5131,"Lock Box, Schedule with ShowingTime or call 888-627-2775","GREAT PRICE! GREAT VALUE- Great Home ready for Immediate Occupancy! A two-story foyer welcomes you to  an exceptional richly detailed interior with a barrel vaulted archway to the dining room, coffered and tray ceilings, exquisitely appointed library/parlor, elaborate crown moldings, expansive gourmet kitchen, luxurious master suite with fireplace and balcony, front and back staircases, walk-up third floor space, and an exercise room/playroom in the lower level. An exceptional almost 4 acre setting in a premier neighborhood completes the ideal picture and just a short walk to town fields and pool!",Colonial,,3,"Forced Air, Gas",,Nixon,Curtis,Lincoln/Sudbury,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Wall Oven, Dishwasher, Disposal;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch, Porch - Screened, Deck, Balcony, Sprinkler System;Insulation:Full;Electric:Circuit Breakers;Interior Features:Central Vacuum, Cable Available, Walk-up Attic;Hot Water:Natural Gas, Tank;",SF,Thornberry Lane,24,24,http://media.mlspin.com/photo.aspx?mls=72053436
13,72056197,CTG,149900,,8/21/2016,,,177,169,14 Ross Street,Clinton,MA,1510,,3,1,1358,108,24939,Krysten Bunting,Century 21 North Shore/Storrs & DeNault,(978) 537-5100,"Call List Agent, Lock Box, Appointment Required","Corner lot home is directly on the Lancaster/ Clinton Line and features a lovely Sunny Family Room, 3 Bedrooms, and a large private yard perfect for gardening, pets, Family parties, or relaxing on the Back Patio.  All Appliances included. This is a short sale attempt, property to be sold 'as is' 'as seen' 'where is', seller/broker make no warranties or representations. Any & all buyers making an offer will be required to complete their inspection within 7 days of offer acceptance by the seller. Buyer responsible for any and all inspections necessary to complete sale, this includes the smoke certifications. Seller will NOT improve the condition of the property in any way for any reason. Buyer’s responsible for diligence.",Cape,1,0,"Hot Water Radiators, Oil",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Refrigerator, Washer, Dryer;Foundation:Other (See Remarks);Construction:Frame;Exterior:Shingles;Exterior Features:Patio;Insulation:--;Electric:--;Interior Features:Cable Available;Hot Water:Tankless;",SF,Ross Street,14,14,http://media.mlspin.com/photo.aspx?mls=72056197
14,72057160,CTG,165000,,8/21/2016,,,390,357,55 Pavilion Ave,East Providence,RI,2916,,3,1.5,1116,118,4089,Shannon Janic,Cornerstone Realty Partners,(508) 399-1222,"Call List Agent, Lock Box, Appointment Required, Sign, Pets on Premises",ATTENTION INVESTORS:  Motivated Seller!  1900's charm with a modern twist!  Family owned property with some minor updates throughout.  Hot water tank is only 2 years old and exterior was painted within the past year.  Full bathroom on 1st floor with brand new half bath in Master upstairs.  Wood stove and all appliances to remain.  Garage to be torn down at buyers request. Minimal notice needed.  Cash and Conventional borrowers preferred.  FHA buyers obtaining a 203(k) loan only.,Other (See Remarks),1,0,"Hot Water Baseboard, Gas",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher, Refrigerator;Foundation:Fieldstone, Irregular;Construction:Frame;Exterior:Asbestos;Exterior Features:Fenced Yard;Insulation:Mixed;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;",SF,Pavilion Ave,55,55,http://media.mlspin.com/photo.aspx?mls=72057160
15,72060280,UAG,1200000,,08/01/2016,,,513,513,1519-1513 CRANDALL,Tiverton,RI,2878,,4,1,1612,218,3151130,Carol A. Guimond,Century 21 Topsail Realty - Tiverton,(401) 625-5878,"Accompanied Showings, Appointment Required, Sign, Other (See Special Showing Instructions)","WINGOVER  FARM! One of the finest parcels in Tiverton! 72+ Acres of Stone walled fields, wooded trails, and a Fishing  Pond at the end of the trail.  This property features an  historic farmhouse, guest cottage, several outbuildings  and a recently built new barn. Many farming and residential options with considerable road frontage and paper road access to another  buildable acreage.  Great Opportunity for , organic farming, animals, and other uses.  Call for more details.","Colonial, Antique, Farmhouse",1,0,"Forced Air, Oil",,,,,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Pine;Appliances:Range, Dishwasher;Foundation:Fieldstone;Construction:Frame;Exterior:Shingles, Wood;Exterior Features:Patio, Storage Shed, Barn/Stable, Garden Area, Guest House, Horses Permitted, Stone Wall;Insulation:Unknown;Electric:Circuit Breakers, 150 Amps;Interior Features:Cable Available;Hot Water:Propane Gas, Tank;",SF,CRANDALL,15191513,1519-1513,http://media.mlspin.com/photo.aspx?mls=72060280
16,72070604,UAG,2225000,,9/21/2016,,,441,425,510 Far Reach Road,Westwood,MA,2090,,5,6,5390,1,61780,Elena Price,Coldwell Banker Residential Brokerage - Westwood,(781) 320-0550,"Call List Agent, Accompanied Showings, Appointment Required","Prime Westwood location off Summer St close to all in established neighborhood. Premier builder offers new 5 bedroom Colonial on a beautiful acre plus lot in coveted High Ridge Estates. This custom home will combine luxury style with relaxed living spaces, Open floorplan, high ceilings, quality craftsmanship, high-end finishes and attention to detail. Gourmet Chef's kitchen with island and top appliances, Breakfast room, walk in pantry and coffered ceiling, Formal dining room and large Family room off kitchen also with coffered ceiling. Three season Sun porch with fireplace off back overlooking picturesque sunsets. Mudroom and second staircase to Bonus room with full bath. Second floor offers Private Master suite with dressing room/walkin closet, Generous sized bedrooms. Full basement can be finished. Three car garage, landscaped and mature tree lined lot.","Colonial, Other (See Remarks)",,3,Forced Air,,Driveled,Thurston Middle,Westward High,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet, Hardwood, Stone / Slate;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range, Refrigerator, Refrigerator - Wine Storage, Vent Hood;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard, Stone;Exterior Features:Porch - Screened, Patio, Professional Landscaping, Sprinkler System, Decorative Lighting, Other (See Remarks);Insulation:--;Electric:Circuit Breakers;Interior Features:Cable Available, Wired for Surround Sound;Hot Water:--;",SF,Far Reach Road,510,510,http://media.mlspin.com/photo.aspx?mls=72070604
17,72073090,CTG,1499000,,9/26/2016,,,511,499,67 Nanepashemet St.,Marblehead,MA,1945,Marblehead Neck,5,3.5,3300,108,49658,Cressy Team,J. Barrett & Company,(781) 631-9800,Call List Agent,"MARBLEHEAD NECK WITH SEPARATE CARRIAGE HOUSE: Situated on over an acre of private grounds, this stately 1910 English country style home with 5 bedrooms and 3.5 baths combines the detail and charm of day's past with many recent upgrades.  Enjoy the peace and serenity of the natural surroundings which abut the 16 acre bird sanctuary- a perfect place to relax or entertain.  Many traditional features such as coffered ceilings, rich wood floors, french doors, period moldings and dramatic wood wainscoting have been preserved while undergoing many recent upgrades including a granite and stainless kitchen, two new hot water tanks in both the main house and carriage house, some electrical upgrades and an 8 year old gas heating system in the main house.  This unique property is perfect for anyone who has long-term guests such an an au pair, out-of-town family members and friends. 8 car off-street parking.",Other (See Remarks),1,0,"Forced Air, Gas",,Village,Veterans,Marblehead High,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Wall to Wall Carpet;Appliances:Range, Dishwasher, Washer, Dryer;Foundation:Poured Concrete, Fieldstone;Construction:Frame;Exterior:Stucco;Exterior Features:Patio, Covered Patio/Deck, Gutters, Professional Landscaping, Screens, Fenced Yard, Garden Area;Insulation:--;Electric:Circuit Breakers;Interior Features:French Doors;Hot Water:--;",SF,Nanepashemet St.,67,67,http://media.mlspin.com/photo.aspx?mls=72073090
18,72080286,CTG,2999999,,10/12/2016,,,495,493,80 Monadnock Road,Wellesley,MA,2481,,5,6.5,6800,10,20564,Debi Benoit,Benoit Mizner Simon & Co. - Wellesley - Central St,(781) 237-8181,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Beautifully situated in sought after Peirce Estates, this exquisite 2008 Colonial offers incredible living space throughout. Two story foyer, streaming with natural light, leads to elegant dining room with hardwood floors and tray ceiling. Gourmet chef's kitchen features center island, double ovens, built in desk, sunny breakfast room and opens to inviting family room with built ins, fireplace and exterior access to stunning blue stone patio and built in grill. Handsome library with custom built ins and coffered ceilings and office complete first floor. Master suite features luxurious bath, generous walk in closet and picture windows. Third floor bonus room  features play space and ballet/bar studio. Fantastic lower level with media, play, exercise and game rooms allows for incredible entertaining spaces. Step outside into the gorgeous grounds featuring resort like pool, pool house with additional bathroom and basketball area. Vacation at home all year long!",Colonial,,3,"Hot Water Baseboard, Gas",,WPS,WMS,WHS,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Wall Oven, Dishwasher, Disposal, Countertop Range, Refrigerator, Refrigerator - Wine Storage;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Porch, Patio, Pool - Inground Heated, Professional Landscaping, Sprinkler System, Decorative Lighting, Fenced Yard;Insulation:--;Electric:--;Interior Features:Security System, Cable Available, Wetbar, French Doors;Hot Water:--;",SF,Monadnock Road,80,80,http://media.mlspin.com/photo.aspx?mls=72080286
19,72082053,UAG,649900,,10/16/2016,,,432,432,Lot 5 Graeme Way,Groveland,MA,1834,,3,2,2100,2,44169,Joshua Naughton,RE/MAX Innovative,(603) 434-4101,Call List Agent,"This Del Ray Ranch home to be built in Groveland's newest cul-de-sac neighborhood.  Rarely seen one floor new construction with open concept floorplan and 9' ceilings. Well-appointed and upgraded kitchen and baths, tiled master shower, gas fireplace, hardwood and tile flooring, and custom trim details throughout including crown moldings, wainscoting, and decorative columns.  Optional 3 car garage available.  Designed with easy maintenance and energy efficiencies in mind.  Other home styles and home sites are available to build from builder's plans or to build your custom home.",Ranch,,2,"Forced Air, Propane",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl, Composite;Exterior Features:Porch, Deck - Composite, Professional Landscaping, Screens;Insulation:Full, Fiberglass, Blown In;Electric:Circuit Breakers, 200 Amps;Interior Features:Finish - Sheetrock;Hot Water:Propane Gas, Tankless;",SF,Graeme Way,5,Lot 5,http://media.mlspin.com/photo.aspx?mls=72082053
20,72084651,UAG,195900,,10/21/2016,,,371,371,112 Cold Hill,Granby,MA,1033,,3,2,1322,138,47044,Gayle B. Demary,Brooks Agency REALTORS®,(413) 467-9136,"Call List Office, Call List Agent, Lock Box, Appointment Required, Sign","Location, location now a price reduction!! This Cute updated 1333 sqft 1880 antique colonial with lots of personality and charm is now even more appealing!  Wide plank floors. Serene views of field. Situated on one of Granby's designated ""scenic"" roads which boarders South Hadley.  Minutes away from Rt. 90 & 91 and 5 major colleges.   Super home, super location, super price! Don't wait call today!","Colonial, Antique",1,1,"Forced Air, Oil",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Vinyl;Appliances:--;Foundation:Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch;Insulation:--;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Electric;",SF,Cold Hill,112,112,http://media.mlspin.com/photo.aspx?mls=72084651
