,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
11,72032783,UAG,350000,,7/4/2016,,,142,142,184 Main St,Acton,MA,01720,,3,1,1036,118,38038,Lois Kreidler,Foster-Healey Real Estate,(978) 537-8301,"Call List Agent, Lock Box, Appointment Required, Sign","Great opportunity for Contractors, Handymen, or Professional Re-habbers.  Close to an acre of land, located for a convenient  commute to the highway, T-station, shopping and restaurants.  Close to schools.  House is being sold in ""as is"" condition.",Colonial,,0,"Forced Air, Gas",,Acton,Acton,Acton Reg HS,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Vinyl;Appliances:Range, Refrigerator;Foundation:Fieldstone, Irregular;Construction:Frame;Exterior:Asbestos;Exterior Features:Porch - Enclosed, Deck, Barn/Stable, Screens, Fenced Yard;Insulation:Unknown;Electric:Fuses;Interior Features:--;Hot Water:Tank;",SF,Main St,184,184,http://media.mlspin.com/photo.aspx?mls=72032783
12,72047350,UAG,530300,,8/2/2016,,,213,213,Lot 18 Senator Bolling Circle,Boston,MA,02124,Dorchester's Dorchester Center,3,2.5,2170,1,7013,JL Williams,Coldwell Banker Residential Brokerage - Waltham,(781) 893-0808,--,"Presenting the Fairway, comes in 3 and 4 bedroom models, 2100+  square feet, with a large Rear Deck, Hardwood Floors throughout 1st and 2nd Floors, Oak Stair Treads w/ Colonial Style Balusters and Oak Handrails, Granite Countertops in Kitchen and Full Baths, Ceramic Tile Bathroom Floors and Tub Surrounds, Stainless Steel Kitchen Appliances, Gas Fireplace w/ Wood Mantle ,Two Central HVAC Zones, Recessed Light Package, Under Cabinet Kitchen Lights, Pull Down Attic Stairs for Storage, Two Car Garage Available on Some Lots",Colonial,,1,Central Heat,,,,,"Basement:Yes;Fireplaces:1;Roof:--;Floor:Wood, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Disposal, Microwave, Refrigerator, Refrigerator - ENERGY STAR, Dishwasher - ENERGY STAR, Cooktop - ENERGY STAR, Range - ENERGY STAR, Rangetop - ENERGY STAR, Oven - ENERGY STAR;Foundation:Concrete Block;Construction:--;Exterior:--;Exterior Features:--;Insulation:Full, Partial, Fiberglass;Electric:--;Interior Features:Security System, Cable Available;Hot Water:Natural Gas;",SF,Senator Bolling Circle,18,Lot 18,http://media.mlspin.com/photo.aspx?mls=72047350
13,72048951,CTG,210000,,8/4/2016,,,954,576,18 Highland Avenue,Greenfield,MA,01301,,3,2,2557,123,4356,Corinne A. Fitzgerald,Fitzgerald Real Estate,(413) 774-6371,"Call List Agent, Lock Box, Appointment Required, Sign","Hiding behind a magnificent Magnolia tree and surrounded by flowering perennial gardens with something in bloom all season that you can enjoy from the enclosed glassed in wrap around porch. Located in the Highland area where you can walk to town, play tennis on the clay courts and enjoy hikes through the trail of Highland Park. This spacious Queen Anne Victorian has all the room and much of the charm you'd be looking for in this style of home that offers an inviting foyer, a gas fired fireplace in the living room, formal dining room with a built in hutch and the Butler's pantry connecting the kitchen, new first floor quaint bath and a large mudroom. Three nice sized bedrooms including the master bedroom with French doors that open to an attached room ideal for an office of nursery. The open and ample sitting area on the second floor leads to the walk up attic with a finished room and a large attic space. All and all this home has good bones, a great location and an easy to care for yar","Victorian, Queen Anne",1,0,"Hot Water Baseboard, Oil",,Federal St k-4,GMS 5-8,GHS 9-12,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Hardwood;Appliances:Range, Dishwasher, Disposal, Washer, Dryer, Refrigerator - ENERGY STAR;Foundation:Fieldstone;Construction:Frame;Exterior:Aluminum;Exterior Features:Porch, Porch - Enclosed, Screens, Garden Area;Insulation:Unknown;Electric:Circuit Breakers, 200 Amps, Knob & Tube Wiring;Interior Features:Cable Available;Hot Water:Oil, Tank;",SF,Highland Avenue,18,18,http://media.mlspin.com/photo.aspx?mls=72048951
14,72064727,UAG,105000,,9/9/2016,,,203,203,335 Granite St,Worcester,MA,01607,,3,1,1226,98,21590,Raymond Verzillo,Real Living Barbera Associates | Worcester,(508) 852-4227,"Call List Agent, Other (See Special Showing Instructions)","Great location don't miss out great for commuter location all major routes 146  Rt ,Mass Pike Route20,Home being sold as is where is. In need of  TLC but great home bring back to its charm. Great Handyman special  Waiting for you with a lot of privacy while still in the city close to major routes and shopping lot gives a nice large yard. Short Sale sold as is where and Buyer responsible for Title V and Smokes . Make an offer  buyer to do clean out",Colonial,,0,"Steam, Oil",,,,,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:--;Foundation:Fieldstone;Construction:Frame;Exterior:Vinyl;Exterior Features:Deck - Wood;Insulation:Unknown;Electric:110 Volts;Interior Features:Cable Available;Hot Water:Oil;",SF,Granite St,335,335,http://media.mlspin.com/photo.aspx?mls=72064727
15,72074260,UAG,455000,,9/28/2016,,,530,161,16 Germain St,Worcester,MA,01602,,4,4.5,5253,119,11625,Ronald Garabedian,Emerson REALTORS®,(508) 832-5324,"Call List Agent, Accompanied Showings, Appointment Required",""" JUST REDUCED"" Majestic Victorian home located in historic Hammond Heights district. Known as the ""Lyman Gordan House"" founder of Wyman Gordan Company.  This stately home offers 12 rooms, 4 bedrooms and 4 1/2 baths (counting the In-Law apartment), Hardwood flooring through out the house, wainscoting, stained glass windows, built in bookcase's with leaded glass, 3 fireplaces, 1 pellet /1 wood stove, and butler's pantry. The kitchen has been updated with granite counters, center Island with cook top  and stainless steel appliances, also updated is the master bath and recently updated 200 amp electrical service. A partially finished basement with walkout, full bath, kitchen,and wood stove, used as family room. The garage/Carriage house has apartment below, with separate boiler, full bath, kitchen,bedroom and living room. A truly an impressive home, quality through out.",Victorian,1,1,Steam,,Midland,Forest Grove,Doherty,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Vinyl, Wall to Wall Carpet, Hardwood;Appliances:Wall Oven, Dishwasher, Disposal, Microwave, Countertop Range;Foundation:Brick, Granite, Irregular;Construction:Frame;Exterior:Asbestos;Exterior Features:Porch, Porch - Enclosed;Insulation:Unknown;Electric:Fuses, Circuit Breakers, 200 Amps;Interior Features:Security System;Hot Water:Natural Gas, Tank;",SF,Germain St,16,16,http://media.mlspin.com/photo.aspx?mls=72074260
16,72075511,CTG,3985000,,9/30/2016,,,532,525,175 Monument Farm Rd,Concord,MA,01742,,7,9,9201,21,222877,"Senkler, Pasley & Dowcett",Coldwell Banker Residential Brokerage - Concord,(978) 369-1000,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Unrivaled Elegance, Impeccable Amenities & Well-Appointed Leisure! Immersed in natural beauty, this magnificent French Country Estate is surrounded by 5 enchanting acres including a pond & waterfall, peony garden, natural pond & fountain, heated pool, hot tub, cabana & lighted clay court. The residence is filled with grandeur & meticulous details with soaring ceilings & windows, extensive marble, hardwood floors, extraordinary moldings, paneling, & fine finish work. Entertain in the gourmet 2-cook kitchen, European, banquet-sized dining rm, dramatic family rm with cypress, chestnut &  Vermont stone details, breathtaking 2 story living rm, billiard room & home theater with a pub & wine cellar. Enjoy exercising in the gym w/an adjacent 6 person sauna. 7 Bedrm suites include a 2 story master w/his & hers baths, a dressing rm & a study. Many rooms step out to the grounds thru French doors & a glassed loggia leads to a fireplaced 1 BR carriage house & attached, 6 bay garage.",Colonial,1,6,"Oil, Hydro Air",,Alcott,Peabody Sanborn,CCHS,"Basement:Yes;Fireplaces:4;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet, Marble, Hardwood, Stone / Slate;Appliances:Wall Oven, Dishwasher, Microwave, Countertop Range, Refrigerator, Freezer, Vacuum System;Foundation:Poured Concrete;Construction:Frame;Exterior:Stucco;Exterior Features:Patio, Balcony, Pool - Inground Heated, Tennis Court, Professional Landscaping, Sprinkler System, Garden Area, Guest House, Stone Wall;Insulation:--;Electric:Circuit Breakers;Interior Features:Central Vacuum, Security System, Cable Available, Sauna/Steam/Hot Tub, Wetbar, French Doors;Hot Water:Tank;",SF,Monument Farm Rd,175,175,http://media.mlspin.com/photo.aspx?mls=72075511
17,72080215,UAG,157900,,10/12/2016,,,168,153,lot 22 Opal Lane,Gardner,MA,01440,,3,2,1422,3,0,Mark Tavenner,LAER Realty Partners,(978) 448-8288,Call List Agent,"Use 420 Pearl Street for address to entrance. ""The Gem""  model in Sapphire Park.  A Brand new unique development of manufactured homes. This adult community built and designed for the 55 and over life style. Come walk the lots, pick your new home style. What could be better than brand new.  Loaded with features. 2x6 construction, 5 / 12 Roof pitch. Too much to list. Now taking reservations for Spring. Similar to picture shown this home is not yet built. Shown with optional garage More lots and styles available.",Ranch,1,2,Central Heat,,,,,Basement:No;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:--;Appliances:--;Foundation:Slab;Construction:Modular;Exterior:Vinyl;Exterior Features:--;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;,SF,Opal Lane,22,lot 22,http://media.mlspin.com/photo.aspx?mls=72080215
18,72087359,UAG,449900,,10/29/2016,,,129,114,5 Vincent Street,Fairhaven,MA,02719,,4,2,2000,2,12196,Ronald Oliveira,Century 21 Signature Properties,(508) 999-4541,Other (See Special Showing Instructions),"NEW Colonial! Reserve This Dream Home Today, Before it's Gone.  This Colonial Sits on a 10,000 sq. ft. Lot in the Center of Historic Fairhaven Ma, located on a Dead End Street, and very short distance to Beaches, Schools, Highways and Major Shopping! TURN-KEY means NO Construction Loan, VA Certified Developer / FHA Welcome ... Custom Colors, Custom Finishes 4 Bedrooms, 2 Baths Master suite, Kitchen with Granite, Stainless appliances, Hardwood, Recessed Lighting, 1st Floor Laundry & More.",Colonial,1,0,"Central Heat, Hot Water Baseboard",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:Range, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck;Insulation:Full;Electric:Circuit Breakers;Interior Features:--;Hot Water:--;",SF,Vincent Street,5,5,http://media.mlspin.com/photo.aspx?mls=72087359
19,72091697,UAG,584500,,11/10/2016,,,119,73,6 Primrose Lane,Rehoboth,MA,02769,,4,2.5,2650,1,60893,Janis Turner,"EXPERIENCE Real Estate, LLC",(401) 286-8011,"Call List Agent, Accompanied Showings",Here is your opportunity to build a brand new custom home with on of New England's finest Custom Home Builders.  The Preserve at Brook Street is new community that has more than half the home sites SOLD.  Come see and Experience The Preserve today. Open Houses are held at our model home on 36 Brook Street every Saturday and Sunday.,Colonial,1,2,Propane,,Palmer River,D.L Beckwith,D R Regional,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Composition Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:--;Foundation:Poured Concrete;Construction:Conventional (2x4-2x6);Exterior:Vinyl;Exterior Features:Deck - Wood, Gutters, Screens;Insulation:Full;Electric:200 Amps;Interior Features:--;Hot Water:Propane Gas;",SF,Primrose Lane,6,6,http://media.mlspin.com/photo.aspx?mls=72091697
20,72093535,CTG,859000,,11/15/2016,,,486,477,129 East Street,Carlisle,MA,01741,,4,2.5,2400,2,117612,"Senkler, Pasley & Dowcett",Coldwell Banker Residential Brokerage - Concord,(978) 369-1000,"Call List Agent, Accompanied Showings, Appointment Required, Sign","Discover sustainability without sacrifice in this newly-built “green” home offering a comfortable, aesthetically-pleasing environment, with low maintenance & long-life interior & exterior finishes. This high-performance home fits & feels just right with an open, ingenious floor plan beautifully enhanced with quality craftsmanship & modern amenities. Finishes include gleaming hardwood flring, a granite kitchen with breakfast bar peninsula, designer lighting, & a “ready to finish” insulated basement. Efficiency takes a starring role throughout, with durable, high performance heating & cooling, state-of-the-art insulation, whole house ventilation system, water-saving fixtures, LED lighting, Energy Star® appliances & solar ready with wiring for PV panel-generated electricity. A higher level of perfection achieved, in this beautifully designed home with decreased energy costs, higher air quality & quieter living. Sited in a convenient location near several town centers & commuting rtes.",Craftsman,1,1,"Radiant, Electric, Air Source Heat Pumps (ASHP)",,Carlisle,Carlisle,CCHS,"Basement:Yes;Fireplaces:0;Roof:Asphalt/Composition Shingles;Floor:Tile, Hardwood;Appliances:Range, Dryer, Refrigerator - ENERGY STAR, Dishwasher - ENERGY STAR, Washer - ENERGY STAR;Foundation:Poured Concrete, Thermally Broken Foundation/Slab;Construction:Frame;Exterior:Composite;Exterior Features:Deck - Composite, Gutters, Garden Area;Insulation:Full, Cellulose - Fiber, Fiberglass - Rigid, Foam, Polyisocyanurate Board, Polystyrene-XPS;Electric:200 Amps;Interior Features:Cable Available, Finish - Sheetrock;Hot Water:Electric, Tank;",SF,East Street,129,129,http://media.mlspin.com/photo.aspx?mls=72093535
21,72095383,UAG,399900,,11/10/2016,,,139,131,75 Martin Street,Rehoboth,MA,02769,,3,2.5,2096,24,67405,Reciprocal Reciprocal,Rhode Island Reciprocal,(508) 111-1111,Appointment Required,"Wonderful Gambrel Style Colonial on over 1.5 acres. Central air, screened in porch and large deck overlooking private wooded yard. Updated heating system and partially finished basement.",Colonial,1,2,"Central Heat, Hot Water Baseboard, Oil",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Vinyl, Wall to Wall Carpet;Appliances:Range, Wall Oven, Dishwasher;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Porch - Enclosed, Porch - Screened, Deck, Deck - Wood, Horses Permitted;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Tankless;",SF,Martin Street,75,75,http://media.mlspin.com/photo.aspx?mls=72095383
22,72099705,CTG,250000,,12/7/2016,,,201,190,116 Old Turnpike Road,Townsend,MA,01474,,3,1.5,1751,40,41380,Apple Country Team,Keller Williams Realty North Central,(978) 840-9000,"Lock Box, Sign, Schedule with ShowingTime or call 888-627-2775","Amazing renovation home loan opportunity! Cape style home located on .95 acres with 8 room, 3 bedroom, 1.5 bath colonial with a detached 2 car garage 1851 square foot home. Newer roof with architectural shingles, energy-efficient heating system, water tank, and new septic system in 2009   Buyer must complete the title v inspection at their expense. TITLE V.  Subject to short sale approval. House is empty in disrepair, photos of previously lived in condition.",Colonial,1,2,"Forced Air, Gas",,Townsend,Townsend,North Middlesex,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet;Appliances:Range, Dishwasher, Microwave, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Deck;Insulation:Full;Electric:220 Volts, 100 Amps;Interior Features:--;Hot Water:Natural Gas, Tank;",SF,Old Turnpike Road,116,116,http://media.mlspin.com/photo.aspx?mls=72099705
