,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
11,71995896,SLD,1545000,1400000,4/28/2016,2/1/2017,,237,221,168 Circuit St,Norwell,MA,02061,,5,5,5680,15,245243,Evan Sobran,The Sobran Group,(781) 749-3311,Call List Agent,"Price Break 11/4!!  One of the finest estates on the South Shore! From the moment you pass through the electric gates and approach this stunning shingle style home, you know you have found something special. 5600 square foot home set on 5.6 bucolic acres. Numerous recent enhancements, including pool/guest house, heated gunite pool, BRAND NEW state of the art Viking/Subzero kitchen, new Brazilian Rosewood floors throughout first floor.  Master suite features private deck overlooking pool and grounds. 4 additional spacious bedrooms, most with cathedral ceilings and skylights. Updated baths. Whole house generators, central air, new roof. Extensive landscaping and amazing privacy, yet only 4 minutes to Rte 3.  This home is perfect for the car collector w/2 lifts and garage space for 7 cars, or the gourmet cook who loves entertaining, or for those who seek a true estate setting. Meticulously maintained and updated. Also available for lease.",Colonial,1,7,"Hot Water Baseboard, Radiant, Oil, Propane",,Cole,,,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile;Appliances:Wall Oven, Dishwasher, Microwave, Countertop Range, Freezer, Water Treatment, Refrigerator - ENERGY STAR, Dryer - ENERGY STAR, Dishwasher - ENERGY STAR, Washer - ENERGY STAR;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Deck, Deck - Roof, Covered Patio/Deck, Balcony, Pool - Inground Heated, Hot Tub/Spa, Storage Shed, Professional Landscaping, Sprinkler System, Decorative Lighting, Fruit Trees, Garden Area, Guest House, Horses Permitted, Stone Wall;Insulation:Full;Electric:--;Interior Features:Security System, Sauna/Steam/Hot Tub, Walk-up Attic, French Doors;Hot Water:Oil;",SF,Circuit St,168,168,http://media.mlspin.com/photo.aspx?mls=71995896
12,72024677,SLD,279900,280000,6/16/2016,2/1/2017,,151,137,9 Johnson St,Pembroke,MA,02359,,4,1.5,1568,49,32480,Barbara Morris,William Raveis R.E. & Home Services,(413) 565-2111,"Call List Agent, Sign","Captivating Colonial found on Johnson Street! This spectacular home has much to offer! The interior offers a warm and welcoming living room complete with hardwood floor and fireplace, a formal dining room finished with hardwood floor, cozy kitchen finished with tile floor, marvelous master bedroom complete with hardwood floor and closet, and three additional spacious bedrooms finished with hardwood floor, and all offering ample amounts of closet space. Located in a quaint and quiet neighborhood, just a few short miles from some of the areas best shopping, restaurants, and parks, this home is sure to be gone soon. Don't miss out on this once in a lifetime opportunity, call today!",Colonial,1,0,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Hardwood;Appliances:--;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch - Enclosed;Insulation:Unknown;Electric:Circuit Breakers;Interior Features:--;Hot Water:Natural Gas;",SF,Johnson St,9,9,http://media.mlspin.com/photo.aspx?mls=72024677
13,72024728,SLD,589900,589900,6/16/2016,2/1/2017,,174,174,73 Farm Street,Millis,MA,02054,,4,2.5,2834,2,35607,Jason Saphire,www.EntryOnly.com,(877) 249-5478,"Owner, Appointment Required","Beautiful 4BR 2.5BA Colonial House, set back from the road on a nice wooded lot. Open floor plan with granite/stainless kitchen with gas cooking and island also a walk-in pantry. The 15'x19' family room in the back of the house features transom windows overlooking your spacious backyard. Sit in front of your fireplace and enjoy the views. Hardwood Floors throughout the first floor, with a solid oak staircase. Master bath features 2 walk-in closets. Master Bedroom features sitting area.","Colonial, Farmhouse",,2,"Forced Air, Gas",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Microwave;Foundation:Irregular;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck, Gutters, Screens;Insulation:Full, Mixed;Electric:200 Amps;Interior Features:--;Hot Water:Tankless;",SF,Farm Street,73,73,http://media.mlspin.com/photo.aspx?mls=72024728
14,72025301,SLD,459900,440000,6/17/2016,2/1/2017,,209,167,12 Bellows Rd,Wilbraham,MA,01095,,4,2.5,3326,20,36362,Suzanne White Group,William Raveis R.E. & Home Services,(413) 565-2111,"Accompanied Showings, Appointment Required, Schedule with ShowingTime or call 888-627-2775","Roulier Construction, 9 room, 4 BR, 2.5 bath, custom 3326SF Colonial is well maintained, has great space and inviting floor plan. Chef's kitchen has Viking stove, center island, solid countertops, tile flooring & dining area w/sliders to the deck and yard. Formal Dining Room boasts French  doors, hardwood flooring & crown molding. Formal LR/Music room is filled w/afternoon sun. Comfortable Family Room with vaulted ceilings, fireplace, built-in shelving and entertainment center sets right next to the kitchen. All 4 Bedrooms are on the upper level.  Master Bedroom includes his & hers walk-in closets, tray ceiling, and private ensuite bath. 4th BR/bonus room works as upstairs family room or office. Spacious finished basement adds 1050SF for play space, home office or gym areas. This home offers a generous .8 acre backyard w/ play space, in-ground pool, lush landscape, and a heated/lighted tree house, all set in a convenient location close to shopping and city line. Great Opportunity here!",Colonial,1,3,"Forced Air, Gas",,,Stony Hill,Minnechaug,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Wall Oven, Dishwasher, Microwave, Washer, Dryer;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Patio, Pool - Inground, Gutters, Sprinkler System, Screens, Fenced Yard;Insulation:Full;Electric:200 Amps;Interior Features:Cable Available;Hot Water:Natural Gas, Tank;",SF,Bellows Rd,12,12,http://media.mlspin.com/photo.aspx?mls=72025301
15,72026036,SLD,569900,569900,6/20/2016,2/1/2017,,162,147,69 Farm Street,Millis,MA,02054,,4,2.5,2300,2,40510,Robin Spangenberg,"Northeast Signature Properties, LLC",(800) 930-0907,"Call List Agent, Sign","New Construction by Reputable Millis Builder.  Beautifully sited center entrance Colonial with all you would expect in a new home and more. Spacious Kitchen features prep island ideal for baking, cooking and entertaining. The expanse of the Kitchen open to Breakfast Nook with bay window flows out to the deck, encompassed by a private level rear yard. Rich detail in Formal Dining Room includes chair rail and gleaming Hardwood flooring. Formal Living Room features Hardwood and fireplace. Main level laundry and 1/2 bath. The second floor offers 3 Spacious bedrooms with guest double sink vanity bath, and the Master with ensuite  double sink vanity boasting his/hers walk-in closets.  Roughed for Central Air Conditioning. 3Yr builder warranty make this new home outstanding. Minutes to Train - Millis award winning school system!",Colonial,1,2,"Forced Air, Gas",,Clyde F. Brown,Millis Middle,Millis High,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Hardwood;Appliances:Range, Dishwasher, Microwave;Foundation:Poured Concrete;Construction:Frame;Exterior:Vinyl;Exterior Features:Porch, Deck, Gutters, Screens;Insulation:Full, Mixed;Electric:200 Amps;Interior Features:Cable Available, Other (See Remarks);Hot Water:--;",SF,Farm Street,69,69,http://media.mlspin.com/photo.aspx?mls=72026036
16,72028732,SLD,2475000,2400000,6/24/2016,2/1/2017,,157,142,100 Pilgrim Road,Wellesley,MA,02481,,5,6,6000,2,15120,Leila E. Sampson,Century 21 Commonwealth,(781) 237-8000,"Call List Agent, Accompanied Showings, Appointment Required","NEW PRICE! Tremendous value for sq footage being offered! A true New England brick chimney Colonial in coveted Bates neighborhood. Open Foyer w/ wainscoting extends into Study w/ built-in cabinet. Spectacular coffered Kitchen w/D.W. & sink equipped Butler's Pantry combine a full suite of custom maple cabinetry w/ Wolf & Sub-Zero appliances. Sunken F.R. w/ gas F.P. offers an abundance of natural light. Both rooms look out to a private and nicely screened backyard. The elegant Living & Dining rooms create the perfect space for large gatherings. Expansive Master suite w/ Cosmopolitan gas F.P., his & hers closets, & designer marble bath. 4 add'l bedrooms, 2 en-suite, & full size Laundry rm w/ cabinets & sink. Mudroom w/ 2 closets, built-in, 2nd staircase, and side porch entry. Finished L.L. w/ Playroom, Gym, Media, & full bath. Pre-finished walk up third floor provides ample storage and expansion area.  Stately landscape and curb appeal. Unique opportunity, not to be missed!",Colonial,1,2,"Forced Air, Radiant, Gas",,Bates,WMS,WHS,"Basement:Yes;Fireplaces:3;Roof:Asphalt/Fiberglass Shingles;Floor:Tile, Wall to Wall Carpet, Marble, Hardwood;Appliances:Wall Oven, Dishwasher, Disposal, Microwave, Countertop Range, Refrigerator, Refrigerator - Wine Storage;Foundation:Poured Concrete;Construction:Frame;Exterior:Clapboard;Exterior Features:Patio, Gutters, Professional Landscaping, Sprinkler System, Screens;Insulation:Full, Fiberglass, Polyicynene Foam;Electric:Other (See Remarks);Interior Features:Security System, Cable Available, Walk-up Attic;Hot Water:Natural Gas;",SF,Pilgrim Road,100,100,http://media.mlspin.com/photo.aspx?mls=72028732
17,72029067,SLD,650000,635000,6/18/2016,2/1/2017,,184,160,32 Gulls Way,Brewster,MA,02631,,3,3,1302,29,23500,Michael Leighton,Leighton Realty,(508) 896-1222,"Call List Office, Call List Agent, Appointment Required","Sheep Pond Waterfront. Wonderful views from most every room. Open floor plan with skylights, hard wood floors, a fireplace and two decks overlooking the lake. A very short walk to the Bike path and multiple beaches. 651 ft. of the total sq. footage is a finished walkout basement with a bathroom and a slider leading out to a patio. Great for year round living or as a vacation property.",Ranch,1,1,"Hot Water Baseboard, Propane",,,,,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Wood;Appliances:--;Foundation:Poured Concrete;Construction:--;Exterior:Wood;Exterior Features:Porch, Patio;Insulation:--;Electric:--;Interior Features:--;Hot Water:--;",SF,Gulls Way,32,32,http://media.mlspin.com/photo.aspx?mls=72029067
18,72029213,SLD,244900,215000,6/24/2016,2/1/2017,,117,103,198 W Selden St,Boston,MA,02126,,3,1,1198,128,4741,Barbara Morris,William Raveis R.E. & Home Services,(413) 565-2111,"Call List Agent, Sign","Splendid Colonial found on W Selden Street! This spectacular home has much to offer! Interior offering welcoming living room, fabulous family room finished with hardwood floor, formal dining room, and three spacious bedrooms, all offering ample amounts of closet space. Located in a well desired neighborhood, nearest some of the towns best shopping, restaurants, and public transportation, this home is sure to be gone soon. Don't miss out, call today!",Colonial,1,0,Radiant,,,,,"Basement:No;Fireplaces:0;Roof:Asphalt/Fiberglass Shingles;Floor:Wall to Wall Carpet, Hardwood;Appliances:--;Foundation:Fieldstone;Construction:Frame;Exterior:Wood;Exterior Features:Porch, Deck;Insulation:--;Electric:Circuit Breakers;Interior Features:Cable Available;Hot Water:Natural Gas;",SF,W Selden St,198,198,http://media.mlspin.com/photo.aspx?mls=72029213
19,72029627,SLD,280000,255000,6/26/2016,2/1/2017,,37,4,171 Lowe Ave,Stoughton,MA,02072,North Stoughton ,4,2,1690,60,16504,Patrick Martin,Patrick W. Martin,(781) 589-4846,"Call List Agent, Lock Box, Appointment Required",CONTRACTOR'S and First-time Homebuyer SPECIAL.  Property is being sold as is.  Charming Cape with plenty of room in need of some updates.  Priced to sell with a motivated Seller looking to close fast.  Great location close to Dawe elementary school with BRAND NEW High School coming soon!  New kitchen cabinets and high efficiency furnace installed within the last 5 years.  Four GREAT size bedrooms with plenty of closet space.  Basement does not get water and would be ideal to finish for additional space.,Cape,,0,"Forced Air, Oil",,Dawe,OMS,Stoughton,"Basement:Yes;Fireplaces:1;Roof:Asphalt/Fiberglass Shingles;Floor:Laminate, Hardwood;Appliances:Dishwasher, Refrigerator;Foundation:Poured Concrete;Construction:Frame;Exterior:Wood;Exterior Features:Pool - Inground;Insulation:--;Electric:--;Interior Features:--;Hot Water:Oil;",SF,Lowe Ave,171,171,http://media.mlspin.com/photo.aspx?mls=72029627
20,72034360,SLD,719900,715000,7/7/2016,2/1/2017,,200,124,10 LILLIAN DRIVE,North Reading,MA,01864,,4,2.5,3689,32,40946,Maureen Giuliano,Classified Realty Group,(978) 664-0075,"Lock Box, Appointment Required, Sign, Schedule with ShowingTime or call 888-627-2775","Spacious 4 bedroom, 2.5 bath COLONIAL set on PRIVATE 1 acre wooded lot graciously set at end of a CUL-DE-SAC.  GORGEOUS KITCHEN and dining area with lots of GRANITE, cherry cabinets, STAINLESS STEEL appliances and HARDWOOD floors.  This OPEN CONCEPT home has an easy flow and layout.  ENJOY this special home while relaxing by the living room FIREPLACE or enjoy the warmth and comfort of the oversized 26 x 20 FAMILY ROOM also complimented with a fireplace.  A large 17 x 16 SUNROOM, oversized cedar deck, MANICURED lawn, brick patio, and swimming pool offer great options for enjoying the NATURAL BEAUTY of your surroundings.  Lot of upgrades and plenty of space including a large finished basement make this a real must see!",Colonial,1,2,"Hot Water Baseboard, Oil",,Batchelder,NRMS,NRHS,"Basement:Yes;Fireplaces:2;Roof:Asphalt/Fiberglass Shingles;Floor:Wood, Tile, Wall to Wall Carpet, Laminate, Hardwood;Appliances:Range, Dishwasher, Disposal, Compactor, Microwave, Refrigerator, Freezer, Washer, Dryer, Vent Hood;Foundation:Poured Concrete;Construction:Frame, Brick;Exterior:Vinyl, Brick;Exterior Features:Deck, Patio, Pool - Above Ground, Gutters, Storage Shed, Professional Landscaping, Sprinkler System, Decorative Lighting, Screens, Fenced Yard, Invisible Fence, Stone Wall;Insulation:Full;Electric:200 Amps;Interior Features:Central Vacuum, Security System, Cable Available, French Doors, Laundry Chute, Wired for Surround Sound;Hot Water:Electric;",SF,LILLIAN DRIVE,10,10,http://media.mlspin.com/photo.aspx?mls=72034360
