0,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
11,71886223,SLD,429000,430000,08/07/2015,11/14/2017,,565,549,1 Lancaster Rd,Shirley,MA,1464,,9,4.5,4231,118,20037,Pat Bagni Latimer,RE/MAX Partners,(978) 772-4101,"Call List Agent, Appointment Required, Sign, Pets on Premises","Great 3 family with 3 bedrooms in each unit.  Great opportunity for owner occupancy while living in one unit you have two other units paying rent to help with the mortgage.  Commuter location just moments from the route 2 east or west, 495, 110, 111, 2A as well as the Shirley Village station of the MBTA Commuter rail.  Since 2011 some updates include plumbing, electric, gas baseboard heat in each unit, newer kitchens and baths.  All units have separate utilities to include town water on 3 separate meters.  Town sewer already installed.   Please accompany the Buyer at all times. Building could easily be converted to condos.",,,0,,,,,,,MF,Lancaster Rd,1,1,http://media.mlspin.com/photo.aspx?mls=71886223
12,71925208,CTG,599000,,10/16/2015,,,474,460,315 North Main St,Natick,MA,1760,,4,2,1624,34,77929,William Fitzpatrick,"Wellesley Real Estate, LLC",(508) 420-1800,"Call List Agent, Accompanied Showings, Appointment Required","Two-family house on 77,929 square feet.  Lots of room with lots of creative possibilities or simply enjoy your own big slice of nature. Great commuter location just minutes to Rt. 9, Rt 30 and the Mass Pike.  Current zoning is residential with variance for the multi-family.",,,0,,,,,,,MF,North Main St,315,315,http://media.mlspin.com/photo.aspx?mls=71925208
13,71930530,ACT,89000,,11/11/2015,,,826,,37 Stebbins St,Springfield,MA,1109,,8,2.5,2858,114,9470,Jose Rodriguez,Century 21 A-1 Nolan Realty,(413) 737-7356,--,"Investors take notice!!! Eight rooms, four bedrooms in each unit. Good-sized yard, off street parking and on a bus route.",,,0,,,,,choice,,MF,Stebbins St,37,37,http://media.mlspin.com/photo.aspx?mls=71930530
14,71935432,ACT,349900,,11/22/2015,,,820,,93 (lot76)New Templeton Road,Hubbardston,MA,1452,,6,3,1288,0,110000,Denise F. Wortman,EXIT New Options Real Estate,(888) 363-3948,"Call List Agent, Go Direct, Sign","Build a brand new duplex in the lovely town of Hubbardston ! Live in one side, rent the other or have an extended family home built! Many options available.  Land owner is also a builder and plans are available.",,,0,,,,,,,MF,(lot76)New Templeton Road,93,93,http://media.mlspin.com/photo.aspx?mls=71935432
15,71941788,ACT,224900,,12/16/2015,,,796,,307 Mill Street,New Bedford,MA,2740,,9,3,3579,107,2876,Tom Dixon,Keller Williams Realty,(508) 238-5000,Schedule with ShowingTime or call 888-627-2775,"Spacious 3 Family on corner lot and great location. Each floor offers 3 Bedrooms, Galley Style kitchen, Dining Room and Living Room. Great Investment Opportunity.  fully rented great cash flow. please give a few days notice to schedule showings as we have to co-ordinate with all the tenants",,,0,,,,,,,MF,Mill Street,307,307,http://media.mlspin.com/photo.aspx?mls=71941788
16,71945515,ACT,1500000,,01/05/2016,,,770,,350 Riverbend st,Athol,MA,1331,,24,18,14920,11,108900,Douglas Pochini,D.Pochini Real Estate,(978) 632-2284,"Call List Office, Call List Agent","Riverbend Estates, 12 beautiful multi level condominiums, each with 2 Bedrooms, 1.5 Baths, Bright Kitchen/ Dining area. Sliders to private patio and back yard. Master Bedroom with walk in closet. all Appliances included. Separate Laundry area in lower level with one car garage. Small Storage basement in rear. To Be Sold as Package.",,,12,,,,,,,MF,Riverbend st,350,350,http://media.mlspin.com/photo.aspx?mls=71945515
17,71945846,ACT,399900,,01/06/2016,,,1009,,514-516 Parker Street,Gardner,MA,1440,,5,3.5,2600,11,20000,Douglas Pochini,D.Pochini Real Estate,(978) 632-2284,"Call List Office, Call List Agent, Appointment Required","Beautiful two family duplex with garages, 2007 Construction, great floor plans, Outstanding yard for children or dog. Spacious living for small family. A must see. Both Units are currently rented but a great opportunity to buy.",,,2,,,,Gardner Middle,Gardner High,,MF,Parker Street,514516,514-516,http://media.mlspin.com/photo.aspx?mls=71945846
18,71947423,ACT,579900,,01/11/2016,,,770,,902-910 Chicopee St.,Chicopee,MA,1013,,7,5,5036,218,12196,Dana Ivers,"Kelley & Katzer Real Estate, LLC",(413) 209-9933,"Appointment Required, Schedule with ShowingTime or call 888-627-2775","Once in a Lifetime Opportunity!!  Great Income Producing Multifamily home and 5 Bay Manufactured Garages generating additional income w/a wide variety of uses.  Both the home and garages are Turn Key and Extremely Well Maintained.  The multi family home also offers a nice Office space for onsite management or possibility of converting it back to an efficiency apt.  An added bonus is the spacious 1 bdrm apt above the garages.  The home features Newer Porches and Railings, Harvey Replacement Windows, Vinyl Siding, Newer Roof, nicely renovated Units, 3 units have De-Lead Certificates, Newer Hot Water tanks w/state of the art Pecs Piping System, on site Laundry, and assigned parking space.  The Garages feature electric service, overhead doors, high ceilings, 2 w/ bathroom accommodations, 2 w/heat; 1 garage shop w/heat and A/C and security system.  Also included is one bay w/loft access for added storage. Now is your chance to own this property that has been a successfully run & maintained",,,0,,,,,,,MF,Chicopee St.,902910,902-910,http://media.mlspin.com/photo.aspx?mls=71947423
19,71950565,ACT,394900,,1/20/2016,,,761,,17 Middleboro Rd.,Freetown,MA,2717,,4,2,1817,128,82764,Byron R. Ford Jr,Berkshire Hathaway Home Services - Mel Antonio Real Estate,(508) 991-6661,Call List Agent,"This historic TWO FAMILY antique Victorian sits on just under two acres. Zoned mixed use, you could live here and build your walk to business or keep the home as money maker.  Build-able for many business opportunities other than restaurant or pizza shop.  Lots of potential for this great business location.  The property has a HD 20 commercial 3000 gallon baffled septic tank with a 6 bedroom leaching field. This is a great piece of property. Home has lots of character and charm",,,0,,,,,,,MF,Middleboro Rd.,17,17,http://media.mlspin.com/photo.aspx?mls=71950565
20,71971715,ACT,315000,,3/14/2016,,,707,,120-122 Logtown Rd,Amherst,MA,1002,,4,3,1660,33,20233,Kym Peloquin,Century 21 Hometown Associates,(413) 315-4337,"Call List Agent, Accompanied Showings, Appointment Required, Sign, Other (See Special Showing Instructions)","Buyers want extra income then come check out  this BEAUTIFUL, MOVE IN READY owner occupied single family raised ranch with a 1 bedroom apartment that is located behind the garage. The property is all electric and has leased Solar Panels.  Amenities include a deck, storage shed, 2 full baths, laundry room and a family room along with an additional room in the lower level. The apartment offers 1 bedroom kitchen/living room combo and a full bath with stackable washer/drier plus a deck.  This apartment has it's own house number  and entrance and can be rental income or used as an in-law apartment or maybe even an office.  Per town, property has to be owner occupied. Buyer responsible to verify legal usage for apartment and all other information.  Buyer responsible to take over the solar lease.",,,1,,,,,,,MF,Logtown Rd,120122,120-122,http://media.mlspin.com/photo.aspx?mls=71971715
21,71975829,ACT,175000,,3/22/2016,,,915,,218-220 Albion Street,Fall River,MA,2723,,6,3,3105,118,2567,Tom Dixon,Keller Williams Realty,(508) 238-5000,Schedule with ShowingTime or call 888-627-2775,"Owner Occupy or Investment Opportunity ~ Multi Family in need of a little TLC ~ 3 Units each consisting of 3 Bedrooms, Living Room, Dining Room, Kitchen and Bath.    first floor and second floor currently occupied   third floor needs a little tlc  very large 3 family",,,0,,,,,,,MF,Albion Street,218220,218-220,http://media.mlspin.com/photo.aspx?mls=71975829
22,71976175,ACT,4225000,,3/22/2016,,,699,,58 Nosh Kola lane,Patterson,NY,12563,,0,0,0,13,5140080,Robert K. Scott,RE/MAX Destiny,(617) 576-3800,--,"This magnificent estate is being offered as a package.  It is a 118 acre historic site with it's own private 8.5 acre lake.  It was purchased privately and developed into a glorious residential compound that encompasses 4 homes that were architecturally designed within the past 15 years including one historic home which has been completely renovated.  The estate is only an hour's drive from New York City.  It is only 5 miles from the Danbury, Connecticut line.  All this and easily accessed at the intersections of routes #84, 684, & 22.  The New York City commuter line to Southeast or Brewster is at your fingertips.  (Full price will be disclosed upon the request of any vetted interested party.)",,,0,,,,,,,MF,Nosh Kola lane,58,58,http://media.mlspin.com/photo.aspx?mls=71976175
23,71981766,ACT,199000,,04/01/2016,,,689,,256 Main St,Northfield,MA,1360,,8,2,3112,118,52272,Michael Pratt,Coldwell Banker Upton-Massamont REALTORS®,(413) 625-6366,"Call List Agent, Lock Box, Appointment Required, Sign","Stately two-and-one-half story farmhouse, located across from the former Northfield Mount Hermon campus. Twelve rooms, seven bedrooms and two baths with walk up attic to what were three extra bedrooms back in the day. Currently it is configured as a two-family style home with separate heating systems. Downstairs apartment has seen some upgrades and improvements over the years. The upstairs apartment has not seen attention for over 30 years. The exterior and slate roof has been maintained regularly. You will find an attached two car garage, a full basement with interior access and bulkhead, public water and city sewer. All of this makes a great opportunity.",,,2,,,Northfield,Pioneer,Pioneer,,MF,Main St,256,256,http://media.mlspin.com/photo.aspx?mls=71981766
24,71982201,ACT,389000,,04/03/2016,,,687,,70 Orange St,Westfield,MA,1085,,11,6,0,118,7841,Suzanne Moore,"Real Living Realty Professionals, LLC",(413) 568-2405,Schedule with ShowingTime or call 888-627-2775,"Nicely maintained 5 family home in the heart of Westfield!    De-lead certificates for all 5 units!  Fully rented..great investment!  Two buildings on one lot.. One unit  is a 5/3/2 free standing house,  and the other is comprised of 4 units..",,,0,,,,,,,MF,Orange St,70,70,http://media.mlspin.com/photo.aspx?mls=71982201
25,71986631,CTG,200000,,04/12/2016,,,158,148,31 High St,Haverhill,MA,1832,,6,2.5,2144,108,5940,Vision Realty Group,RE/MAX Renaissance Inc.,(978) 664-3000,"Appointment Required, Schedule with ShowingTime or call 888-627-2775, Other (See Special Showing Instructions)","**SHORT SALE**2 FAMILY IN NEED OF SOME REHAB (1st unit). FENCED IN YARD, OFF STREET PARKING, PRIVATE PORCH OR PATIO FOR EACH UNIT. CONTINGENT UPON THIRD PARTY APPROVAL. SOLD AS-IS. $5,000 negotiation fee is due to short sale negotiator at closing - cannot be financed.**EMAIL ALL QUESTIONS!!**",,,0,,,,,,,MF,High St,31,31,http://media.mlspin.com/photo.aspx?mls=71986631
26,71995517,CTG,134900,,4/27/2016,,,738,530,121 Central St,Southbridge,MA,1550,,7,3.5,3870,103,6597,Realty Delia Group,EXIT Realty Partners,(508) 797-3948,"Sign, Schedule with ShowingTime or call 888-627-2775","WONDERFUL OPPORTUNITY TO OWN THIS GREAT MULTIFAMILY UNIT! LIVE ON THE ONE FLOOR AND LET THE OTHERS PAY YOUR BILLS!  WOULD MAKE FOR A GREAT OWNER OCCUPIED UNIT!  MANY UPDATES THROUGH-OUT~ BRAND NEW FURNACES FOR 2 UNITS!  UPDATED ELECTRICAL THROUGH OUT WITH OWNERS METER!  YOU'LL LOVE THE REPLACEMENT WINDOWS!  RIVER VIEWS!  GREAT LOCATION, HARDWOOD FLOORS, WASHER/DRYER HOOK UPS IN THE UNITS!  GREAT PORCH AREA FOR RELAXING, WALK TO THE CENTER OF TOWN! GREAT CORNER LOT WITH OFF STREET PARKING!  UNIT 1 IS THE OWNERS SUITE, W/FULL REMODEL IN 2012- INCLUDING 1.5BATH, METICULOUSLY MAINTAINED & CARED FOR, THE PROPERTY BOASTS OF 3UNITS W/WONDERFUL LAYOUT, SPACIOUS ROOMS, W/FANTASIC NATURAL LIGHT, NATURAL WOODWORK. 2ND FLOOR IS RENTED W/NEW TENANT, THIRD AND FIRST FLOOR ARE BEING FRESHLY PAINTED AND CLEANED READY FOR A NEW TENANT! 2ND & 3RD FLOOR COULD EASILY BE USED AS A 3 BEDROOM. LG LIVING RMS W/NEW WINDOWS,  THIS IS NOT A DRIVE BY IT'S A MUST SEE!  CALL NOW! UNIT 1 & EXTERIOR HAVE LEAD CERTS.",,,0,,,Southbridge,Southbridge,Southbridge,,MF,Central St,121,121,http://media.mlspin.com/photo.aspx?mls=71995517
27,72018783,ACT,525000,,06/07/2016,,,616,,190 Popple Camp Rd,Petersham,MA,1366,,6,4.5,4500,68,435600,Attorney James Ermini,New England Classic Homes,(941) 799-1717,"Call List Office, Owner, Appointment Required","This 4500 square foot multi family home has 6 bedrooms and 5.0 bathrooms. It is located at 190 Popple Camp Rd Petersham, Massachusetts.  Situated in a beautiful setting, with consistent cash flow and paying tenants.  Includes a 3 story silo apartment, Perfect for an Air B&B.",,,2,,,Center School,Mahar/Quabbin,Mahar/Quabbin,,MF,Popple Camp Rd,190,190,http://media.mlspin.com/photo.aspx?mls=72018783
28,72020529,ACT,3800000,,06/09/2016,,,620,,203 High Street / 8 Dexter Lane,Newburyport,MA,1950,,8,7,13613,245,133729,Anne Neal,Coldwell Banker Residential Brokerage - Newburyport,(978) 465-1927,Call List Agent,"A High Street estate of incomparable grandeur and palatial elegance, the Lowell-Tracy-Johnson House, c.1773, is the finest Georgian mansion in historic Newburyport. Set back from the street on just over 3 acres of pristine gardens and woodlands, only a short walk to downtown, this handsome home has been modernized and outfitted w/ State-Of-The-Art systems, a beautiful entertainer's kitchen, standing seam copper roof, geothermal HVAC, professional's wine cellar, an unusually elegant master bath and much more.  Period detail abounds. The main staircase is considered one of the architectural treasures of the city. The ca.1850 carriage house, recently reimagined, holds a cutting edge Music Chamber/Performance Space, two car garage, and two contemporary apartments or guest quarters. Its cupola, an oasis of calm, overlooks majestic specimen shade trees and panoramic views of the city.  Available for new ownership for the first time in more than 20 years.",,,2,,,,,,,MF,High Street / 8 Dexter Lane,203,203,http://media.mlspin.com/photo.aspx?mls=72020529
29,72027713,ACT,496000,,6/22/2016,,,595,,163 Winter St.,Fall River,MA,2720,,9,9,5504,149,8712,Diane Campos,Carolyn A. Burton & Associates,(508) 678-8083,"Owner, Call List Agent","Building is on the National Register of Historic Buildings.Built in 1869 as The First Baptist Parsonage.A unique opportunity to own a 9 unit investment property in the Historic Highlands.  All one bedroom units, some furnished.  All include refrigerators and stoves.  Original woodwork, high ceilings,  3 fireplaces.  Rents include heat, electric, and hot water.  Additional income from coin-op basement laundry, and additional a/c charges.  11 parking spaces.  Well maintained, aluminum siding, new windows. Good rents, good tenants, quiet area. Security lighting in halls and outside. Deed can transfer after 9/30/16. Property can be purchased with other multi family investment properties across the street owned by owner/broker.",,,0,,,Spencer Borden,James M. Morton,bmc durfee High,,MF,Winter St.,163,163,http://media.mlspin.com/photo.aspx?mls=72027713
30,72029412,ACT,259900,,6/23/2016,,,384,,1 Bean Rd,Sterling,MA,1564,,5,2,3775,188,41818,Randy Carpenter,Real Estate Marketplace,(508) 303-8000,"Call List Agent, Lock Box, Sign","Rare find in Sterling,  2 Family house with lots of potential.  New roof and passing Title 5 inspection.",,,0,,,,,,,MF,Bean Rd,1,1,http://media.mlspin.com/photo.aspx?mls=72029412
31,72030205,ACT,548000,,6/27/2016,,,602,,239/245 High St.,Fall River,MA,2720,,7,9,5000,152,9000,Diane Campos,Carolyn A. Burton & Associates,(508) 678-8083,"Owner, Call List Agent","11 total units..Investment opportunity. 1866 Historic Elijah Kilburn House on the city register of historic structures....9 total units main house....5 one bedroom units, 4 studios.  With detached 1877 Elijah Kilburn carriage house, with 2 one bedroom units. Some units are furnished with furniture.All units include refrigerators and stoves.  Heat, electric, hot water included in rents.  Extra income from coin-op laundry in basement and a/c charges. Nice Historic Highlands location.  Good rents, good tenants.  Security lighting in halls and outside..  There are 4 parking spaces in rear, but a driveway access will need to be installed.  Deed can transfer after 9/30/2016. Adjacent houses and others nearby owned by agent/owner available for sale.",,,0,,,Spencer Borden,James M. Morton,BMC durfee High,,MF,High St.,239245,239/245,http://media.mlspin.com/photo.aspx?mls=72030205
32,72033860,SLD,430000,460000,07/06/2016,11/27/2017,,424,409,64-66 Howe St,Methuen,MA,1844,,6,3,2937,118,4269,Jorge Medrano,Coldwell Banker Residential Brokerage - Haverhill,(978) 372-8577,"Call List Agent, Accompanied Showings, Appointment Required","BACK ON MARKET DUE TO BUYER FINANCING FALLING THROUGH! Perfect owner occupied or investor 3 family with partially finished basement. All apartments have 2 bedrooms, 1 bathroom layout. First unit offers hardwood floors, remodeled kitchen and bath, bow window, in unit laundry. Second unit is identical in layout with first floor but with less updates. Third floor is being delivered vacant. There is ample parking for up to eight vehicles. Also property has a newer roof, siding, and heating systems under 2 years old. Separate utilities. Excellent rental location in one of the most desirable areas of Methuen close to major highways, shopping, and restaurants.",,,0,,,,,,,MF,Howe St,6466,64-66,http://media.mlspin.com/photo.aspx?mls=72033860
33,72035294,ACT,325000,,07/08/2016,,,591,,435 Cherry St.,Fall River,MA,2720,,7,8,3157,122,4356,Diane Campos,Carolyn A. Burton & Associates,(508) 678-8083,"Owner, Call List Agent","circa 1896.   The Randall N. Durfee House is listed on the city historic register.  A unique opportunity to own an 8 unit investment property in the Historic Highlands.  Quiet area, good rents, good tenants, close to everything.  Property can be purchased with adjoining multi family properties and other multi family properties around the corner owned by agent/owner. All units have refrigerators and stoves. Some units are furnished.  Rents include heat, electric and hot water. Security lighting in halls and outside. Deed can transfer after 9/30/16. A great opportunity.",,,0,,,Spencer Borden,James M. Morton,BMC durfee High,,MF,Cherry St.,435,435,http://media.mlspin.com/photo.aspx?mls=72035294
34,72035333,ACT,351000,,07/08/2016,,,591,,447 Cherry St.,Fall River,MA,2720,,6,6,4494,148,6200,Diane Campos,Carolyn A. Burton & Associates,(508) 678-8083,"Owner, Call List Agent","Circa 1870.  The Elijah C. Kilburn House is on the city register of Historic Structures..  A unique investment opportunity to own  6 one bedroom units in the Historic Highlands. Quiet area, good tenants, close to everything.  Property can be purchased with adjoining multi family properties and other multi family properties around the corner.  All units have refrigerators and stoves.  Some units are furnished.  Rents include heat, electric and hot water. Security lighting in halls and outside.  Deed can transfer after 9/30/16.  A great opportunity.",,,0,,,Spencer Borden,James M. Morton,BMC durfee High,,MF,Cherry St.,447,447,http://media.mlspin.com/photo.aspx?mls=72035333
35,72035350,ACT,279000,,07/08/2016,,,591,,101 Winter St.,Fall River,MA,2720,,6,6,2288,144,4898,Diane Campos,Carolyn A. Burton & Associates,(508) 678-8083,"Owner, Call List Agent","circa 1874,  The George Fraprie House.  Listed on the city Register of Historic Structures.  A unique investment opportunity to own  6 Studio Units with driveway and detached garage.  New windows.  All units have refrigerators and stoves.  Some units are furnished.  Good rents, good tenants, quiet area.Rents include heat, electric, and hot water.  Security lighting in halls and outside..   Can be purchased with owner/agent owned adjoining multi family investment properties, and multi family units around corner. Deed can transfer after 9/30/16. A great opportunity.",,,1,,,Spencer Borden,James M. Morton,BMC durfee High,,MF,Winter St.,101,101,http://media.mlspin.com/photo.aspx?mls=72035350
36,72035597,ACT,702000,,07/09/2016,,,590,,121/127 Winter St.,Fall River,MA,2720,,10,14,2514,114,9147,Diane Campos,Carolyn A. Burton & Associates,(508) 678-8083,"Owner, Call List Agent","Historic Lower Highlands. 2 Houses, one lot. Easy to manage.  14 total units. 121 winter St. c.1904 HIlton House on city register of historic structures. 5 one bed. units and 1-2 bed. unit.  127 Winter St. c.1865 Mary A. Brayton House. Gingerbread trimmed porch and other architectural features..  4 one bed. units/ and 4 studio units. Refrigerators and stoves included in all units.  Some units furnished.  New windows.  Security lighting in halls and outside.  Extra income from coin-op laundry at 121 Winter. Heat, electric, hot water included in rents.   Can be purchased with agent/owner owned adjacent properties and properties around the corner. Good area, good tenants, close to everything.A great investment opportunity. Deed can be transferred after 9/30/2016.",,,0,,,Spencer Borden,James M. Morton,BMC durfee High,,MF,Winter St.,121127,121/127,http://media.mlspin.com/photo.aspx?mls=72035597
