,MLSNUM,STATUS,LISTPRICE,SOLDPRICE,LISTDATE,SOLDDATE,EXPIREDDATE,DOM,DTO,ADDRESS,CITY,STATE,ZIP,AREA,BEDS,BATHS,SQFT,AGE,LOTSIZE,AGENTNAME,OFFICENAME,OFFICEPHONE,SHOWINGINSTRUCTIONS,REMARKS,STYLE,LEVEL,GARAGE,HEATING,COOLING,ELEMENTARYSCHOOL,JUNIORHIGHSCHOOL,HIGHSCHOOL,OTHERFEATURES,PROPTYPE,STREETNAME,HOUSENUM1,HOUSENUM2,PHOTOURL
11,71807860,ACT,2000000,,3/27/2015,,,1092,,82-86 Prospect St,Somerville,MA,02143,,0,0,19800,88,9265,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"READ SHOWING INSTRUCTIONS...This last site of just under 10,000 and within 300 feet from the New Union Sq Green Line Station. We can build either a 6 unit Condo/Apt complex onsite or if we are approved to new zoning for High Density that we have applied for already then we can build a 17 plus unit Condo/Apt complex. Lot 34 & Lot 35 9265 SF total We are looking for Best Offer for 6 units over $2,000,000 or if we get rezoned then we are looking for Best Offer for 17 plus units over $4,289,000 upon conclusion of Zoning Board finalization of our address. So make us an IF Then Offer We Can't Refuse and Lock It In. 2-3% to Brokers based on 6 or 17 unit sale.",,,0,,,,,,,MF,Prospect St,8286,82-86,http://media.mlspin.com/photo.aspx?mls=71807860
12,71810460,ACT,525000,,4/2/2015,,,1086,,400 Burts Pit Road,Northampton,MA,01062,,4,2,2184,118,592851,David A Murphy,"The Murphys REALTORS®, Inc.",(413) 584-5700,"Call List Office, Appointment Required, Sign",Owner-occupied two-family located on 13.6 acres of land. Each unit has four rooms with two bedrooms and one full bath. The 13.6 acre lot can be sub-divided.,,,0,,,Bridge,Kennedy,Northampton,,MF,Burts Pit Road,400,400,http://media.mlspin.com/photo.aspx?mls=71810460
13,71814277,SLD,257900,175000,4/9/2015,5/20/2016,,843,208,283 Fall River Ave,Seekonk,MA,02771,,5,3,2599,118,17424,Diane Aubin,Aubin Realty,(508) 336-4000,"Call List Office, Call List Agent","Nice 3 Family investment property with separate utilities. Long Term Tenants, New Gas Furnaces, 3 stall garage. Spacious floor plans, ample parking and nice yard.  . Property being sold in ""As-Is - As Seen"" condition. Buyer responsible for septic repairs.",,,3,,,,,,,MF,Fall River Ave,283,283,http://media.mlspin.com/photo.aspx?mls=71814277
14,71817844,SLD,189900,180000,4/15/2015,5/12/2016,,123,16,120 Riverview St,Brockton,MA,02302,,6,3,2632,93,7144,Luis Martins Realty Team,Realty World Related Realty Group,(508) 238-2417,"Accompanied Showings, Appointment Required","Short sale subject to bank approval.$5,000 short sale fee paid up front by buyer, non negotiable non refundable. short sale not guaranteed to go through. all terms subject to bank approval. smoke certificate is buyers responsibility to obtain. 4 rooms on each floor needs work. tenants not cooperating with sale. this is an as is as seen sale.waiting mlc from city buyer responsible for any and all fees not covered by the shortsale including any back taxes and unpaid water and sewer bills.",,,0,,,choice of 3,south,BHS,,MF,Riverview St,120,120,http://media.mlspin.com/photo.aspx?mls=71817844
15,71824577,SLD,95000,99000,4/27/2015,5/16/2016,,351,274,50 Hazel St,Fitchburg,MA,01420,,5,2,2810,118,3251,A&M Real Estate Consultants,Keller Williams Realty Greater Worcester,(508) 754-3020,"Lock Box, Appointment Required, Sign, Schedule with ShowingTime or call 888-627-2775, Pets on Premises","This is a great opportunity for an owner occupant or an investor. The second floor offers three large bedrooms, hardwood flooring and in unit laundry. The first floor has been updated and offers expansion possibilities. There is a large, partially finished, space connected to the current living space on the first floor that could easily be converted into additional living space. This property has been well maintained over the years and is ready for a new owner. It boasts low maintenance vinyl siding and vinyl replacement windows. It is situated in a convenient location with off street parking. Within walking distance of park & baseball field.",,,0,,,,,,,MF,Hazel St,50,50,http://media.mlspin.com/photo.aspx?mls=71824577
16,71830991,SLD,200000,175000,5/6/2015,5/27/2016,,344,344,350 Bay St.,Fall River,MA,02723,,15,6,7864,118,7854,Marie E. Cashman,"WEICHERT, REALTORS® - Neves & Cashman Realty",(508) 990-7775,"Accompanied Showings, Appointment Required","Investors Dream! 6 Family plus 5 family being sold as a package! All updated electric, new roof 2013. Needs work, but has great income potential! Will not pass FHA or VA financing.",,,0,,,,,,,MF,Bay St.,350,350,http://media.mlspin.com/photo.aspx?mls=71830991
17,71834589,ACT,279900,,5/11/2015,,,1046,,76 Cushman Road,Leverett,MA,01054,,7,6,4400,238,87007,Shawn Bowman,Trademark Real Estate,(413) 665-2155,Call List Agent,"Unique Investment Opportunity for this Large Leverett Multi-Family Property.  (1) 2-Bedroom Unit, (4) 1-Bedroom Unit, and Several Smaller Studio Apartments on Lower Level.  Plenty of Parking and great Country Location.  Separate Utilities - updated Electric and new electric service.",,,0,,,Leverett Elem,Amherst,Amherst,,MF,Cushman Road,76,76,http://media.mlspin.com/photo.aspx?mls=71834589
18,71836671,SLD,265000,225000,5/14/2015,5/25/2016,,602,24,544 MAIN STREET,Bridgewater,MA,02324,,4,2.5,2276,161,25264,Fausto Pina,"Centurion Realty Group, LLC",(508) 894-4042,"Call List Office, Call List Agent, Appointment Required","Beautifully updated 2 family in desirable area. Offers easy access to transportation and area amenities.     Note: Offer subject to third party approval.  ""Seller may cancel this Agreement prior to the ending date of the listing period without advance notice to the Broker, and without payment of a commission  or any other consideration if the property is conveyed to the mortgage insurer or the mortgage holder. The sale completion is subject to approval by the mortgagee.  ""Sale is contingent upon the seller obtaining the prior written approval of Bank of America.""",,,0,,,,,,,MF,MAIN STREET,544,544,http://media.mlspin.com/photo.aspx?mls=71836671
19,71837672,SLD,289900,289000,5/15/2015,5/31/2016,,341,325,48-50 Winter Street,Fall River,MA,02720,,10,6,4367,118,2662,Manny V Lindo,Highland Real Estate Group,(508) 673-9200,"Call List Agent, Accompanied Showings, Appointment Required",Immaculate 4 family fully rented with high rents. Lead Certificates. Separate utilities.,,,0,,,,,,,MF,Winter Street,4850,48-50,http://media.mlspin.com/photo.aspx?mls=71837672
20,71837870,SLD,294900,272500,5/15/2015,5/16/2016,,353,353,21-21.5 Short Street,Milford,MA,01757,,5,2.5,2208,118,6100,John Morte,Century 21 Commonwealth,(508) 478-8800,Schedule with ShowingTime or call 888-627-2775,"Investment opportunity with two single family homes, side by side, separate deeds, being sold as a package. Updates to both homes include replacement windows, Water heaters 2012 and 2015, gas conversion 10yrs, one boiler 2-3 yrs old. Lots of detail in these homes, very clean. Larger , level lot for the neighborhood with a detached barn for storage that has power. Small paved area between the houses. On street parking is an option.  Quick sale possible, very easy to show. Tenant at will in smaller house.",,,0,,,,,,,MF,Short Street,21215,21-21.5,http://media.mlspin.com/photo.aspx?mls=71837870
21,71842557,SLD,515000,508000,5/25/2015,5/27/2016,,256,256,1366-1368 River Street,Boston,MA,02136,Hyde Park,6,2,3356,103,5083,Yves Delice,Edgar D. Fulton REALTORS®,(508) 580-8600,"Call List Agent, Lock Box","Great Desirable Duplex Townhouse in Hyde Park! Each unit offers three level living with 7 large rooms, living room with fire place and dining room. This is a great opportunity to live in your own Townhouse while renting the other unit. Very spacious, hardwood floors, kitchen tiles and baths. Close to area parks, stores and T-Station. Don't miss out. Both units are De-leaded. Great history of long time tenant since 2004",,,0,,,,,,,MF,River Street,13661368,1366-1368,http://media.mlspin.com/photo.aspx?mls=71842557
22,71848665,SLD,590000,565000,6/1/2015,5/20/2016,,214,214,46 Woodward St,Boston,MA,02127,,3,3,2906,128,2253,Lisa Johnson Sevajian,LAER Realty Partners,(978) 475-4855,Schedule with ShowingTime or call 888-627-2775,"List price set by lender. Cash, contingency free offers ONLY to be accepted, first floor and basement available for viewing. Searching for a South Boston multi to renovate & build equity or do a condo conversion? Here it is! First floor has one bedroom with living room and good size kitchen and is full of potential. Second floor is townhouse style with 2 beds, 2 baths, lots of storage, good size rooms. The interior photos are not recent and are provided for reference only. Expect a property that needs TLC/renovations. No access to 2nd floor guaranteed, no appraisals including 2nd floor possible, smoke cert may not be possible due to no access to 2nd floor. Hard money/mortgages are not possible due to no access to 2nd floor. This is a short sale requiring 3rd party approval. All terms are subject to lender approval. This property is to be sold as is as seen with 2nd floor tenant in place. There are no deposits, eviction of 2nd floor tenant to be buyers responsibility",,,0,,,,,,,MF,Woodward St,46,46,http://media.mlspin.com/photo.aspx?mls=71848665
23,71849011,SLD,789000,740000,6/2/2015,5/26/2016,,71,52,31 Dane Ave,Somerville,MA,02143,Union Square,4,2,1985,93,3350,Grace Romano,Advise Realty,(888) 222-9030,Call List Agent,"Location! Location!  Motivated Seller! Investors take a look at this  Wonderful  well maintained  2 family home located on a quiet one way street in the Vibrant Union Sq. Area.   Property was originally a single family home then later converted to a 2 family, with many of its original single family home aspects remaining to be converted back to a single family  or keep .as 2 Fam.   Plenty of outdoor space including a shed, great for storage. Behind the property is a large, recently update park that is great for kids.",,,0,,,Argenziano,,Somerville high,,MF,Dane Ave,31,31,http://media.mlspin.com/photo.aspx?mls=71849011
24,71853184,SLD,170000,171500,6/8/2015,5/20/2016,,6,6,59 Linden St,Whitman,MA,02382,,4,2,2016,123,8250,Robert Lindo,Conway - Abington,(781) 878-5775,Schedule with ShowingTime or call 888-627-2775,"Being sold as is, this 2 family has 2 bedrooms, 1 bath a living room and a eat in kitchen in each unit. Separate gas water heaters, 1 gas heating system,separate electrical, a 2 car garage, and a walk up attic.Whether you are an investor or a first time home buyer this property is perfect for you. Seller will be reviewing all offers on Sunday June 14th at 12pm. Buyer responsible for smoke cert.",,,2,,,,,,,MF,Linden St,59,59,http://media.mlspin.com/photo.aspx?mls=71853184
25,71858717,SLD,199900,165000,6/16/2015,5/27/2016,,333,322,21 Forest Ave Court,Plymouth,MA,02360,,4,2,1996,118,6329,Leon Lopes,RE/MAX Spectrum,(508) 746-8402,"Accompanied Showings, Schedule with ShowingTime or call 888-627-2775","Located at the end of a dead end street, this 2 family consists of 2 bedrooms and 1 bath on each floor plus fenced yard, vinyl siding, front porch. Priced to reflect updates needed throughout and an as-is sale. First floor is heated by a forced air natural gas furnace. Second floor has a connection for a gas log stove and in-unit laundry connections. Basement has sump pump. No driveway but potential to add one. Close to shopping, beaches, historic town center and Route 3. Vacant and ready for a smart buyer renovation project. Should provide strong cash flow. Call your contractors and come take a look! Please NOTE: It does need significant updating as reflected in the price. May qualify for rehab financing.",,,0,,,Hedge Elem,PCIS,North High,,MF,Forest Ave Court,21,21,http://media.mlspin.com/photo.aspx?mls=71858717
26,71859492,SLD,184900,178000,6/17/2015,5/16/2016,,84,79,19 Chestnut St,Woburn,MA,01801,,4,2,1880,168,2970,Stephen Matthews,Real Living Schruender Real Estate,(978) 685-5000,"Call List Office, Lock Box","Two family in need of much TLC. Some of the past updated interior work has been damaged.  Pipes broken throughout. Overall status of systems including furnace, electric and piping is unknown. No electricity or water service is on and will remain OFF. Cash buyers or possible rehab loans only. Seller will entertain offers from owner-occupant buyers only through 7/6/15. Investor/contractor offers will be considered after that date. Seller addendums and certified funds for full deposit required w/P&S. No changes allowed to P&S. Sold AS-IS. Home inspection to be done AFTER fully executed P&S and for buyer information only. Buyer to do own due diligence as it relates to the property.",,,0,,,,,,,MF,Chestnut St,19,19,http://media.mlspin.com/photo.aspx?mls=71859492
27,71860178,ACT,525000,,6/18/2015,,,1009,,31-35 Sawyer St,Methuen,MA,01844,,4,4,2868,118,10800,Richard Fontaine,Parkhill Realty Group,(413) 222-3472,Owner,"PROPERTY TO BE SOLD ""AS IS"" IN GOOD CONDITION  Unique Multi-Family Situated in an Area of Predominantly SINGLE FAMILY HOMES .       Four (4) One Bedroom Units with All Updated Plumbing & Electrical, Separate Utilities       and Parking Situated Near Hickory Hill Golf Course.          A Record of Recent Sales Activity in the Area Shows a Similar Multi-Family   Property SOLD for $ 525,000            Hurry Now Before Prices Increase Again to Take Advantage of this Tremendous Value.",,,0,,,,,,,MF,Sawyer St,3135,31-35,http://media.mlspin.com/photo.aspx?mls=71860178
28,71863733,SLD,539900,539000,6/24/2015,5/9/2016,,61,54,8 Harvard Park,Boston,MA,02124,Dorchester,9,3,3330,93,3082,Steven Freels,Pondside Realty,(617) 524-6900,"Call List Agent, Accompanied Showings, Appointment Required","BEAUTIFUL THREE FAMILY DWELLING LOCATED ON A DEAD END STREET, EACH UNIT OFFERS 3 BEDROOMS, LIVING ROOM, EAT IN KITCHEN AND A FULL BATH, HARDWOOD FLOORS, ALL 3 UNITS ARE DELEADED, REAR YARD, 3RD FLOOR UNIT VACANT FOR NEW OWNER, CLOSE TO SHOPPING & TRANSPORTATION. PERFECT FOR FIRST TIME BUYERS OR INVESTOR.",,,0,,,,,,,MF,Harvard Park,8,8,http://media.mlspin.com/photo.aspx?mls=71863733
29,71864872,SLD,320000,305000,6/26/2015,5/20/2016,,207,207,118 Town Farm Dr,Warren,MA,01083,,10,7,7721,131,4129052,Michelle Terry,EXIT Real Estate Executives,(508) 867-4555,"Call List Agent, Schedule with ShowingTime or call 888-627-2775","INVESTORS TAKE NOTICE! Absolutely gorgeous country location!! 5 separate parcels being sold together! Parcel 1 is a fully rented 7 family apartment building on 1.8 acres with improvements made and up to date tenants, parcel (Warren) lot with 9.5 acres, Parcel 3 (Warren) is a 6.9 acre lot w/ a huge older post & beam barn, Parcel 4 (Warren) 4.59 acre lot, Parcel 5 (Palmer-abutting) 72 acres. Total of over 90 amazing acres! Beautiful open fields, woods, trails ect! Building possibilities!",,,0,,,,,,,MF,Town Farm Dr,118,118,http://media.mlspin.com/photo.aspx?mls=71864872
30,71867232,SLD,169900,165000,7/1/2015,5/31/2016,,163,160,83-85 William Henry Rd,Scituate,RI,02857,,5,2,1775,79,120661,Asset Management Division,RE/MAX Real Estate Center,(508) 543-3922,"Lock Box, Schedule with ShowingTime or call 888-627-2775","Cape style home located on a country road, sits on 2.7 acres of wooded land.  Two car detached garage with finished apartment above.The main house has 3 bedrooms, hardwood floors and is in need of updating and minor repairs.",,,1,,,,,,,MF,William Henry Rd,8385,83-85,http://media.mlspin.com/photo.aspx?mls=71867232
31,71867501,SLD,2675000,2350000,7/2/2015,5/26/2016,,34,34,177 Winthrop,Brookline,MA,02446,Brookline Hills ,10,4.5,5661,110,4569,Louis J. Titus,Titus Companies,(617) 244-1555,Call List Agent,"Washington Square's Best Location *  Gracious brick four unit building * Estate Sale * First time on market in 67 years * 5661 sf of beautiful renovated living space and 1887 of unfinished space in the basement *  Very well maintained, most units with new kitchens and updated baths * Hardwood floors * Eat in kitchens * 10x14 Covered Porches * 150 yards to Beacon Street,  the Abbey, Starbucks,etc. C & D Lines and bus to Hospital Area.* A Decorator's Dream: High Ceilings, Many Windows, End Unit results in much daylight. *  Large storage lockers in basement.* Space for spectacular private roof deck  * ROW  Easement  to possibly construct  three parking spots.",,,0,,,Driscoll/Runkle,Brookline,Brookline,,MF,Winthrop,177,177,http://media.mlspin.com/photo.aspx?mls=71867501
32,71868604,SLD,79903,73000,7/6/2015,5/26/2016,,255,255,78 Penniman Street,New Bedford,MA,02744,Northwest,9,3,3336,118,2918,David Alves,Realty Associates,(508) 995-2100,"Call List Office, Call List Agent, Accompanied Showings","ATTENTION CONTRACTORS -- Owner was looking to finish the build out but got involved in too many projects - so you get a head start to finish the work.  Property has 3 bedrooms per floor, open floor plan, and all units have been guttered and ready to finish rehab,  but already has 4 CB electric systems, therm-pane windows throughout most of the house, 3 gas meters, possible space for a driveway to be added for off street parking, nice back yard, easy access to highway and school.  Asking well below Assessed value at $98,626",,,0,,,Hayden MacFadde,Normandin,New Bedford,,MF,Penniman Street,78,78,http://media.mlspin.com/photo.aspx?mls=71868604
33,71874152,SLD,399000,400000,7/15/2015,5/18/2016,,191,191,787 Dwight St,Holyoke,MA,01040,,24,10,9629,108,15840,Edmund Wong,New Year Realty,(617) 830-9870,"Owner, Other (See Special Showing Instructions)","A fully rented 10 unit building. Fully deleaded with certificates. New plumbing, electrical and roof installed in 2003. New 400 amp electrical service in 2007. There are 4 1 bedrooms units, 4 3 bedroom units and 2 4  bedrooms units. Tenants pay for heat. Individual gas boilers and water heaters. Expandable CCTV system. Recent Proof of Funds required prior to showing the building.",,,0,,,,,,,MF,Dwight St,787,787,http://media.mlspin.com/photo.aspx?mls=71874152
34,71874668,SLD,159900,160000,7/16/2015,5/25/2016,,234,234,304 Hamilton St,Southbridge,MA,01550,,6,2,2042,130,4212,Mary Jo Demick,Aucoin Ryan Realty,(508) 765-9155,"Call List Agent, Accompanied Showings, Appointment Required","Wonderfully, well maintained 2 family. Each unit has 5 rooms/3 bedrooms. There are washer/dryer hook-ups in each unit, updated kitchens & baths, large living rooms, good sized bedrooms, & pressure treated porches. Each tenant has 2 off street parking spots. The building is vinyl sided w/ replacement windows and a newer roof. Separate utilities: natural gas boilers, hot water heaters, 100 amp circuit breakers plus a landlord meter.  Great rental potential!",,,0,,,,,,,MF,Hamilton St,304,304,http://media.mlspin.com/photo.aspx?mls=71874668
35,71875481,SLD,269000,265000,7/18/2015,5/23/2016,,55,16,22 Marion Street,Boston,MA,02128,East Boston,4,2,1931,138,1850,Saul Perlera,Perlera Real Estate,(617) 418-5280,"Call List Office, Call List Agent, Accompanied Showings, Appointment Required","Attention all contractors and investors! This property is in deteriorated condition and in need of total rehab. Property to be sold ONLY to a cash buyer. Seller will not entertain any financing or inspection contingencies; property will be sold in “AS IS” condition and includes current occupants. This property is under receivership and the sale is subject to the Receiver and Boston Housing Court approval. Buyer will have to attend the court hearing to get approved for the purchase of the property.   In addition, the prospective buyer will need to file a renovation schedule with the receiver and make the property habitable in the coming months after purchase.  Listing Information obtained from public records only and is not to be relied upon as fact. Buyers and Agents must perform own due diligence and not rely on listing information. Property is difficult to show.",,,0,,,,,,,MF,Marion Street,22,22,http://media.mlspin.com/photo.aspx?mls=71875481
36,71875614,ACT,465000,,7/18/2015,,,831,,45 Everett Street,Middleboro,MA,02346,,11,6,3000,118,20000,Matthew Zimmerman,Regent Real Estate,(508) 888-3179,--,"STOREFRONT IN MIDDLEBORO AND FIVE (5) RESIDENTIAL UNITS ABOVE! STRONG, RELIABLE RENTROLL ... HIGH VISIBILITY CORNER LOT LOCATION IN AREA NEEDING A STORE! LIVE AT YOUR BUSINESS OR HOUSE YOUR STORE MANAGER HERE! PROPERTY ALSO HAS LARGE DETACHED 3-CAR GARAGE AS A SEPARATE RENTABLE STRUCTURE. MUCH WORK NEEDED COME MAKE YOUR OWN ASSESSMENT. CLOCKWORK RENTROLL WILL BE INCREASED 10% +/-  BY CURRENT OWNER FOR YOU BEFORE CONVEYANCE *NOTE: 1 OF 5 APARTMENTS RENTED AT DISCOUNT FOR ON-SITE RESIDENT MANAGER, A 10+ YEAR OCCUPANT--- DRIVE-BYS ARE ENCOURAGED AS LOCATION WILL HAVE YOUR WHEELS TURNING -- STORE CONVERSION IT IS SITTING VACANT READY TO GO FOR YOU ! --",,,3,,,,,,,MF,Everett Street,45,45,http://media.mlspin.com/photo.aspx?mls=71875614
37,71876207,SLD,550000,495000,7/20/2015,5/31/2016,,223,161,47 Hamilton Avenue,Lynn,MA,01902,,11,3.5,4291,109,4697,Arthur Shannon,Century 21 North Shore,(978) 774-2770,"Call List Agent, Accompanied Showings, Appointment Required","Grand Mansard Colonial. Spectacular 3 family featuring 11 bedrooms. Each unit has its own laundry area and a dishwasher. First  floor unit has its own porch. TURN KEY INVESTMENT PROPERTY. Total renovation of $150,000 by current owner in 2008. LEAD CERTS are available for all units. SEPARATE UTILITIES. Some interior photos were taken after renovation in 2008. All units are in excellent condition currently. The complete exterior of the building has been painted. Gross income $54,000.00. Rents are currently below market. Fully tenanted and all wishing to remain long term. Great Commuter Location.",,,0,,,,,,,MF,Hamilton Avenue,47,47,http://media.mlspin.com/photo.aspx?mls=71876207
38,71878737,SLD,219900,212000,7/24/2015,5/16/2016,,261,227,27 Lafayette St,Worcester,MA,01610,,8,3,2697,128,4393,Kelly A. Nelson,Blue Sky Realty,(508) 757-2583,"Call List Agent, Accompanied Showings, Appointment Required","Attention Investors or Savvy Owner Occupants!!!! Money Maker!!!! Deleaded!!!1 NEW Heating System- 2 others can be installed with Full Price Offer!!!!Roof, Electrical, Plumbing, Windows,Exterior Stairs all done within the last 5 years!!!! All Appliances within 2yrs!!!! Coin-op Laundry!!! Ample OFF Street Parking!!!Solid Rents!!!! Convenient Location Near Bus Lines, Train Station, Colleges, and All Major Conveniences! Not a Drive-By!!! Easy to Show!!!",,,0,,,,,,,MF,Lafayette St,27,27,http://media.mlspin.com/photo.aspx?mls=71878737
39,71878782,SLD,559900,500000,7/23/2015,5/24/2016,,229,229,912 Dwight St,Holyoke,MA,01040,,23,14.5,13660,108,3825,Mary Skinner,Skinner Real Estate Services,(413) 534-6300,Call List Agent,"Location Location Location! Lead compliant certificates for all 14 residential units, the 15th is a commercial space. The heating system has been converted to gas as well as the hot water. The building is fully occupied, there is an additional parking lot that can be purchased with the property.",,,0,,,,,,,MF,Dwight St,912,912,http://media.mlspin.com/photo.aspx?mls=71878782
